fid,id,center_x,center_y,lon,lat,risk1,real_id
1,1,9822.558,174741.407,-8.016,41.242,3,1
2,2,9822.558,174241.407,-8.016,41.237,3,2
3,3,9822.558,173741.407,-8.016,41.233,5,3
4,4,9822.558,173241.407,-8.016,41.228,5,4
5,5,9822.558,172741.407,-8.016,41.224,4,5
6,6,9822.558,172241.407,-8.016,41.219,3,6
7,7,9822.558,171741.407,-8.016,41.215,5,7
8,8,9822.558,171241.407,-8.016,41.21,5,8
9,9,9822.558,170741.407,-8.016,41.206,5,9
10,10,9822.558,170241.407,-8.016,41.201,5,10
11,11,9822.558,169741.407,-8.016,41.197,5,11
12,12,9822.558,169241.407,-8.016,41.192,5,12
13,13,9822.558,168741.407,-8.016,41.188,5,13
14,14,9822.558,168241.407,-8.016,41.183,4,14
15,15,9822.558,167741.407,-8.016,41.179,3,15
16,16,9822.558,167241.407,-8.016,41.174,2,16
17,17,9822.558,166741.407,-8.016,41.17,3,17
18,18,9822.558,166241.407,-8.016,41.165,4,18
19,19,9822.558,165741.407,-8.016,41.161,3,19
20,20,9822.558,165241.407,-8.016,41.156,4,20
21,21,9822.558,164741.407,-8.016,41.152,4,21
22,22,9822.558,164241.407,-8.016,41.147,3,22
23,23,9822.558,163741.407,-8.016,41.143,5,23
24,24,9822.558,163241.407,-8.016,41.138,4,24
25,25,9822.558,162741.407,-8.016,41.134,5,25
26,26,10322.558,174741.407,-8.01,41.242,3,26
27,27,10322.558,174241.407,-8.01,41.237,4,27
28,28,10322.558,173741.407,-8.01,41.233,3,28
29,29,10322.558,173241.407,-8.01,41.228,5,29
30,30,10322.558,172741.407,-8.01,41.224,5,30
31,31,10322.558,172241.407,-8.01,41.219,5,31
32,32,10322.558,171741.407,-8.01,41.215,5,32
33,33,10322.558,171241.407,-8.01,41.21,5,33
34,34,10322.558,170741.407,-8.01,41.206,5,34
35,35,10322.558,170241.407,-8.01,41.201,5,35
36,36,10322.558,169741.407,-8.01,41.197,4,36
37,37,10322.558,169241.407,-8.01,41.192,3,37
38,38,10322.558,168741.407,-8.01,41.188,3,38
39,39,10322.558,168241.407,-8.01,41.183,3,39
40,40,10322.558,167741.407,-8.01,41.179,3,40
41,41,10322.558,167241.407,-8.01,41.174,3,41
42,42,10322.558,166741.407,-8.01,41.17,4,42
43,43,10322.558,166241.407,-8.01,41.165,5,43
44,44,10322.558,165741.407,-8.01,41.161,4,44
45,45,10322.558,165241.407,-8.01,41.156,5,45
46,46,10322.558,164741.407,-8.01,41.152,5,46
47,47,10322.558,164241.407,-8.01,41.147,5,47
48,48,10322.558,163741.407,-8.01,41.143,5,48
49,49,10322.558,163241.407,-8.01,41.138,5,49
50,50,10322.558,162741.407,-8.01,41.134,4,50
51,51,10822.558,174741.407,-8.004,41.242,5,51
52,52,10822.558,174241.407,-8.004,41.237,4,52
53,53,10822.558,173741.407,-8.004,41.233,4,53
54,54,10822.558,173241.407,-8.004,41.228,4,54
55,55,10822.558,172741.407,-8.004,41.224,4,55
56,56,10822.558,172241.407,-8.004,41.219,4,56
57,57,10822.558,171741.407,-8.004,41.215,3,57
58,58,10822.558,171241.407,-8.004,41.21,5,58
59,59,10822.558,170741.407,-8.004,41.206,5,59
60,60,10822.558,170241.407,-8.004,41.201,5,60
61,61,10822.558,169741.407,-8.004,41.197,5,61
62,62,10822.558,169241.407,-8.004,41.192,,62
63,63,10822.558,168741.407,-8.004,41.188,4,63
