budget,cost_per_base,bases,covered_points,risk_coverage_percent,runtime_seconds,objective,solution_ids
500000,80000,6,150,22.81672816728167,0.07446765899658203,742.0,"118,203,308,478,509,603"
750000,80000,9,225,33.61008610086101,0.0801088809967041,1093.0,"59,118,203,263,332,459,478,583,603"
850000,80000,10,250,37.14637146371464,0.10834169387817383,1208.0,"59,95,165,203,287,332,459,478,583,603"
1000000,80000,12,300,43.97293972939729,0.08439922332763672,1430.0,"59,95,165,203,220,287,332,459,478,583,588,603"
1250000,80000,15,373,53.47478474784748,0.15273499488830566,1739.0,"54,59,95,140,203,220,263,308,428,443,459,553,583,588,678"
1500000,80000,18,445,62.57687576875769,0.07643985748291016,2035.0,"54,59,73,93,183,188,203,218,223,308,313,428,443,459,553,583,588,678"
1750000,80000,21,519,71.27921279212792,0.14341163635253906,2318.0,"54,59,73,93,183,188,203,218,223,308,313,328,443,453,458,473,488,578,583,613,703"
2000000,80000,25,616,81.91881918819189,0.06978583335876465,2664.0,"58,63,73,93,103,183,188,218,223,228,308,313,378,433,443,473,488,503,558,613,628,683,698,753,764"
2250000,80000,28,682,88.83763837638377,0.12157654762268066,2889.0,"58,63,68,73,103,183,188,193,198,228,308,313,318,323,378,433,443,473,488,503,558,613,628,648,683,753,764,773"
2500000,80000,31,742,94.64944649446494,0.09216809272766113,3078.0,"53,58,63,68,73,153,183,188,193,198,278,308,313,318,323,403,433,438,443,473,503,558,588,618,628,648,683,753,763,768,773"
2750000,80000,34,786,99.0159901599016,0.06717538833618164,3220.0,"53,58,63,68,73,153,158,188,193,198,258,278,313,318,323,383,403,438,443,448,503,508,538,573,618,628,633,663,673,753,758,763,768,773"
3000000,80000,37,796,100.0,0.05347776412963867,3252.0,"53,58,63,68,73,153,183,188,193,198,278,305,310,315,320,323,403,433,438,443,448,503,538,558,568,573,628,641,644,658,661,673,753,758,763,768,773"
