id,risk,center_x,center_y,lon,lat,fid,real_id,covered
7,5.0,0.0,9000.0,-8.016,41.215,7,7,1
8,5.0,0.0,8500.0,-8.016,41.21,8,8,1
9,5.0,0.0,8000.0,-8.016,41.206,9,9,1
10,5.0,0.0,7500.0,-8.016,41.201,10,10,1
11,5.0,0.0,7000.0,-8.016,41.197,11,11,1
32,5.0,500.0,9000.0,-8.01,41.215,32,32,1
33,5.0,500.0,8500.0,-8.01,41.21,33,33,1
34,5.0,500.0,8000.0,-8.01,41.206,34,34,1
35,5.0,500.0,7500.0,-8.01,41.201,35,35,1
36,4.0,500.0,7000.0,-8.01,41.197,36,36,1
43,5.0,500.0,3500.0,-8.01,41.165,43,43,1
44,4.0,500.0,3000.0,-8.01,41.161,44,44,1
45,5.0,500.0,2500.0,-8.01,41.156,45,45,1
46,5.0,500.0,2000.0,-8.01,41.152,46,46,1
47,5.0,500.0,1500.0,-8.01,41.147,47,47,1
57,3.0,1000.0,9000.0,-8.004,41.215,57,57,1
58,5.0,1000.0,8500.0,-8.004,41.21,58,58,1
59,5.0,1000.0,8000.0,-8.004,41.206,59,59,1
60,5.0,1000.0,7500.0,-8.004,41.201,60,60,1
61,5.0,1000.0,7000.0,-8.004,41.197,61,61,1
68,5.0,1000.0,3500.0,-8.004,41.165,68,68,1
69,5.0,1000.0,3000.0,-8.004,41.161,69,69,1
70,5.0,1000.0,2500.0,-8.004,41.156,70,70,1
71,5.0,1000.0,2000.0,-8.004,41.152,71,71,1
72,5.0,1000.0,1500.0,-8.004,41.147,72,72,1
82,4.0,1500.0,9000.0,-7.998,41.215,82,82,1
83,5.0,1500.0,8500.0,-7.998,41.21,83,83,1
84,5.0,1500.0,8000.0,-7.998,41.206,84,84,1
85,4.0,1500.0,7500.0,-7.998,41.201,85,85,1
86,4.0,1500.0,7000.0,-7.998,41.197,86,86,1
93,5.0,1500.0,3500.0,-7.998,41.165,93,93,1
94,5.0,1500.0,3000.0,-7.998,41.161,94,94,1
95,5.0,1500.0,2500.0,-7.998,41.156,95,95,1
96,5.0,1500.0,2000.0,-7.998,41.152,96,96,1
97,5.0,1500.0,1500.0,-7.998,41.147,97,97,1
107,4.0,2000.0,9000.0,-7.992,41.215,107,107,1
108,5.0,2000.0,8500.0,-7.992,41.21,108,108,1
109,5.0,2000.0,8000.0,-7.992,41.206,109,109,1
110,4.0,2000.0,7500.0,-7.992,41.201,110,110,1
111,3.0,2000.0,7000.0,-7.992,41.197,111,111,1
113,4.0,2000.0,6000.0,-7.992,41.188,113,113,1
114,5.0,2000.0,5500.0,-7.992,41.183,114,114,1
115,5.0,2000.0,5000.0,-7.992,41.179,115,115,1
116,5.0,2000.0,4500.0,-7.992,41.174,116,116,1
117,5.0,2000.0,4000.0,-7.992,41.17,117,117,1
118,5.0,2000.0,3500.0,-7.992,41.165,118,118,1
119,5.0,2000.0,3000.0,-7.992,41.161,119,119,1
120,5.0,2000.0,2500.0,-7.992,41.156,120,120,1
121,5.0,2000.0,2000.0,-7.992,41.152,121,121,1
122,4.0,2000.0,1500.0,-7.992,41.147,122,122,1
138,5.0,2500.0,6000.0,-7.986,41.188,138,138,1
139,5.0,2500.0,5500.0,-7.986,41.183,139,139,1
140,5.0,2500.0,5000.0,-7.986,41.179,140,140,1
141,5.0,2500.0,4500.0,-7.986,41.174,141,141,1
142,5.0,2500.0,4000.0,-7.986,41.17,142,142,1
143,5.0,2500.0,3500.0,-7.986,41.165,143,143,1
144,5.0,2500.0,3000.0,-7.986,41.161,144,144,1
145,5.0,2500.0,2500.0,-7.986,41.156,145,145,1
146,5.0,2500.0,2000.0,-7.986,41.152,146,146,1
147,3.0,2500.0,1500.0,-7.986,41.147,147,147,1
151,5.0,3000.0,12000.0,-7.98,41.242,151,151,1
152,5.0,3000.0,11500.0,-7.98,41.237,152,152,1
153,5.0,3000.0,11000.0,-7.98,41.233,153,153,1
154,5.0,3000.0,10500.0,-7.98,41.228,154,154,1
155,5.0,3000.0,10000.0,-7.98,41.224,155,155,1
163,4.0,3000.0,6000.0,-7.98,41.188,163,163,1
164,5.0,3000.0,5500.0,-7.98,41.183,164,164,1
165,5.0,3000.0,5000.0,-7.98,41.179,165,165,1
166,5.0,3000.0,4500.0,-7.98,41.174,166,166,1
167,5.0,3000.0,4000.0,-7.98,41.17,167,167,1
176,5.0,3500.0,12000.0,-7.974,41.242,176,176,1
177,5.0,3500.0,11500.0,-7.974,41.237,177,177,1
178,5.0,3500.0,11000.0,-7.974,41.233,178,178,1
179,5.0,3500.0,10500.0,-7.974,41.228,179,179,1
180,4.0,3500.0,10000.0,-7.974,41.224,180,180,1
188,4.0,3500.0,6000.0,-7.974,41.188,188,188,1
189,5.0,3500.0,5500.0,-7.974,41.183,189,189,1
190,5.0,3500.0,5000.0,-7.974,41.179,190,190,1
