id,risk,center_x,center_y,lon,lat,fid,real_id,selected
53,4.0,1000.0,11000.0,-8.004,41.233,53,53,1
58,5.0,1000.0,8500.0,-8.004,41.21,58,58,1
63,4.0,1000.0,6000.0,-8.004,41.188,63,63,1
68,5.0,1000.0,3500.0,-8.004,41.165,68,68,1
73,5.0,1000.0,1000.0,-8.004,41.143,73,73,1
153,5.0,3000.0,11000.0,-7.98,41.233,153,153,1
183,5.0,3500.0,8500.0,-7.974,41.21,183,183,1
188,4.0,3500.0,6000.0,-7.974,41.188,188,188,1
193,5.0,3500.0,3500.0,-7.974,41.165,193,193,1
198,5.0,3500.0,1000.0,-7.974,41.143,198,198,1
278,5.0,5500.0,11000.0,-7.95,41.233,278,278,1
305,5.0,6000.0,10000.0,-7.944,41.224,305,305,1
310,5.0,6000.0,7500.0,-7.944,41.201,310,310,1
315,5.0,6000.0,5000.0,-7.945,41.179,315,315,1
320,0.0,6000.0,2500.0,-7.945,41.156,320,320,1
323,3.0,6000.0,1000.0,-7.945,41.143,323,323,1
403,5.0,8000.0,11000.0,-7.921,41.233,403,403,1
433,5.0,8500.0,8500.0,-7.915,41.21,433,433,1
438,4.0,8500.0,6000.0,-7.915,41.188,438,438,1
443,3.0,8500.0,3500.0,-7.915,41.165,443,443,1
448,3.0,8500.0,1000.0,-7.915,41.143,448,448,1
503,5.0,10000.0,11000.0,-7.897,41.233,503,503,1
538,5.0,10500.0,6000.0,-7.891,41.188,538,538,1
558,5.0,11000.0,8500.0,-7.885,41.21,558,558,1
568,3.0,11000.0,3500.0,-7.885,41.165,568,568,1
573,4.0,11000.0,1000.0,-7.885,41.143,573,573,1
628,5.0,12500.0,11000.0,-7.867,41.233,628,628,1
641,3.0,12500.0,4500.0,-7.867,41.174,641,641,1
644,0.0,12500.0,3000.0,-7.867,41.161,644,644,1
658,3.0,13000.0,8500.0,-7.861,41.21,658,658,1
661,4.0,13000.0,7000.0,-7.861,41.197,661,661,1
673,4.0,13000.0,1000.0,-7.861,41.143,673,673,1
753,5.0,15000.0,11000.0,-7.837,41.233,753,753,1
758,2.0,15000.0,8500.0,-7.837,41.21,758,758,1
763,4.0,15000.0,6000.0,-7.837,41.187,763,763,1
768,3.0,15000.0,3500.0,-7.837,41.165,768,768,1
773,3.0,15000.0,1000.0,-7.837,41.142,773,773,1
