use_warm,status,objective,bases,runtime_seconds,solution_ids,run,solution_signature
False,2,35.0,35,15.095303297042847,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",1,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
False,2,35.0,35,15.503679275512695,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",2,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
False,2,35.0,35,15.679930925369263,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",3,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
False,2,35.0,35,14.66796588897705,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",4,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
False,2,35.0,35,14.518205881118774,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",5,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
False,2,35.0,35,14.657704591751099,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",6,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
False,2,35.0,35,16.521816968917847,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",7,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
False,2,35.0,35,15.65088677406311,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",8,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
False,2,35.0,35,16.27368688583374,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",9,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
False,2,35.0,35,14.490222215652466,"[53, 58, 63, 68, 73, 178, 183, 188, 193, 198, 278, 283, 288, 293, 298, 403, 408, 413, 418, 423, 528, 533, 538, 543, 548, 628, 633, 638, 643, 648, 753, 758, 763, 768, 773]",10,"53,58,63,68,73,178,183,188,193,198,278,283,288,293,298,403,408,413,418,423,528,533,538,543,548,628,633,638,643,648,753,758,763,768,773"
