id,risk,center_x,center_y,lon,lat,fid,real_id,selected
53,4.0,1000.0,11000.0,-8.004,41.233,53,53,1
58,5.0,1000.0,8500.0,-8.004,41.21,58,58,1
63,4.0,1000.0,6000.0,-8.004,41.188,63,63,1
68,5.0,1000.0,3500.0,-8.004,41.165,68,68,1
73,5.0,1000.0,1000.0,-8.004,41.143,73,73,1
178,5.0,3500.0,11000.0,-7.974,41.233,178,178,1
183,5.0,3500.0,8500.0,-7.974,41.21,183,183,1
188,4.0,3500.0,6000.0,-7.974,41.188,188,188,1
193,5.0,3500.0,3500.0,-7.974,41.165,193,193,1
198,5.0,3500.0,1000.0,-7.974,41.143,198,198,1
278,5.0,5500.0,11000.0,-7.95,41.233,278,278,1
283,5.0,5500.0,8500.0,-7.95,41.21,283,283,1
288,5.0,5500.0,6000.0,-7.95,41.188,288,288,1
293,4.0,5500.0,3500.0,-7.951,41.165,293,293,1
298,3.0,5500.0,1000.0,-7.951,41.143,298,298,1
403,5.0,8000.0,11000.0,-7.921,41.233,403,403,1
408,5.0,8000.0,8500.0,-7.921,41.21,408,408,1
413,4.0,8000.0,6000.0,-7.921,41.188,413,413,1
418,4.0,8000.0,3500.0,-7.921,41.165,418,418,1
423,1.0,8000.0,1000.0,-7.921,41.143,423,423,1
528,5.0,10500.0,11000.0,-7.891,41.233,528,528,1
533,5.0,10500.0,8500.0,-7.891,41.21,533,533,1
538,5.0,10500.0,6000.0,-7.891,41.188,538,538,1
543,3.0,10500.0,3500.0,-7.891,41.165,543,543,1
548,3.0,10500.0,1000.0,-7.891,41.143,548,548,1
628,5.0,12500.0,11000.0,-7.867,41.233,628,628,1
633,5.0,12500.0,8500.0,-7.867,41.21,633,633,1
638,3.0,12500.0,6000.0,-7.867,41.188,638,638,1
643,3.0,12500.0,3500.0,-7.867,41.165,643,643,1
648,5.0,12500.0,1000.0,-7.867,41.143,648,648,1
753,5.0,15000.0,11000.0,-7.837,41.233,753,753,1
758,2.0,15000.0,8500.0,-7.837,41.21,758,758,1
763,4.0,15000.0,6000.0,-7.837,41.187,763,763,1
768,3.0,15000.0,3500.0,-7.837,41.165,768,768,1
773,3.0,15000.0,1000.0,-7.837,41.142,773,773,1
